asin	1	2	3	4	5
B00BW0X6E4	0	0	0	5	17
B00BW0X6EE	1	3	3	21	48
B00BYRPMD8	205	72	126	251	1166
B00BYRPMJC	20	11	12	19	119
B00BZ9I868	8	3	2	2	9
B00C2M72A0	22	27	8	15	45
B00C2MQSDC	8	0	1	6	20
B00C2N3DTI	22	26	10	17	30
B00C3NS3QU	17	13	13	40	163
B00C5AWES4	5	1	9	7	6
B00C5CMUM2	4	7	8	18	41
B00C6OSZKK	21	4	8	11	33
B00C96CAZQ	10	3	6	8	20
B00C9U6YIG	13	2	2	1	5
B00CAAJDP6	62	35	18	60	154
B00CAAQHBE	33	22	17	42	83
B00CAB5ZKC	42	23	16	23	61
B00CAJOOWE	45	32	44	91	215
B00CAJOTNI	27	23	20	49	118
B00CAJOW9E	21	16	19	40	120
B00CBD65WG	129	64	83	157	393
B00CCIKJT0	11	3	6	13	30
B00CD1FB26	44	35	48	108	382
B00CDGSNL2	38	21	27	94	343
B00CDGSOG6	5	2	6	19	67
B00CHHCBVK	1	1	2	1	9
B00CIHAJ40	3	2	4	4	12
B00CILJB0E	18	10	9	20	67
B00CKHGB3Q	0	2	0	5	8
B00CKNOYWK	1	0	1	1	34
B00CL3TAOQ	37	37	36	70	111
B00CLXO14K	4	2	1	9	13
B00CLY1WPU	133	38	47	124	565
B00CM2RYYE	61	34	49	85	159
B00CM35YQS	25	8	16	25	28
B00CMNZ01C	6	4	8	32	145
B00CMNZH1A	9	8	7	17	33
B00CMNZHEC	10	3	7	11	19
B00CMVE2AO	10	5	10	33	185
B00CN45XHG	3	3	8	10	31
B00CNZP8AM	32	12	34	55	81
B00COGA87I	14	4	3	8	13
B00CORRXTS	89	50	46	90	241
B00COS4WGY	18	8	9	16	46
B00CP7SWII	118	38	57	109	495
B00CROTNGO	39	7	8	7	33
B00CRPF0OM	9	6	6	17	15
B00CS4X8S2	11	5	1	7	30
B00CS58LKG	6	0	1	0	2
B00CSLT3SY	17	4	8	22	36
B00CTSOISQ	1	3	4	12	26
B00CU1VE70	2	0	1	4	13
B00CXMFP30	15	3	13	29	115
B00CXVM61A	5	1	3	2	40
B00CYBOUO0	0	1	1	0	10
B00CZ54VVM	21	30	33	85	184
B00CZ6WE3S	6	3	1	7	14
B00D1VX2HS	2	2	2	3	39
B00D42A16E	101	89	119	272	1318
B00D42AESY	14	15	48	99	412
B00D4MPZLK	17	27	25	52	122
B00D4MQ06E	14	3	13	17	57
B00DBA856W	1	0	0	4	6
B00DCEOPH0	9	5	2	7	2
B00DCEPKJ2	90	24	30	74	149
B00DE14T9U	29	16	10	24	35
B00DHSIBUS	1	1	1	3	3
B00DJUXO9C	81	31	28	39	175
B00DM5F19A	24	20	39	95	217
B00DOGD7PW	117	82	42	52	81
B00DP5NH5C	6	3	9	29	92
B00DTWHQUS	0	2	2	3	17
B00DTZNCCQ	251	67	90	158	341
B00DU6RY5K	15	4	2	9	28
B00DV7AH1Q	7	5	6	2	15
B00DVEFKAW	4	4	4	13	36
B00DWGHUFM	5	10	0	5	9
B00DYSKWEO	39	25	30	41	104
B00DZ4J1OY	35	17	15	21	38
B00DZI8UF6	27	6	12	15	55
B00DZIQRXI	1	2	4	14	42
B00DZLSRJC	10	3	5	20	77
B00DZSYEQ0	17	4	2	3	6
B00E3AKF1C	87	71	87	256	524
B00E3AKFA8	12	8	9	11	81
B00E3VLB28	21	16	17	29	52
B00E4JWL50	28	23	14	32	91
B00E4WSPBG	2	0	3	2	23
B00E5HXJEI	167	129	89	112	201
B00E952W12	99	101	109	371	765
B00E952W3A	105	71	65	261	387
B00E9YIFKA	1	6	7	22	64
B00EA9EV0C	15	7	9	13	19
B00EBZAQ36	28	28	43	91	223
B00ECQUY2M	250	132	181	433	1145
B00ED53MTY	27	24	25	47	41
B00EE18LRU	2	4	4	12	18
B00EE18O7W	42	21	29	105	381
B00EEJZFPI	10	1	3	7	11
B00EEJZG34	94	23	24	38	56
B00EH5TWT4	8	5	8	27	47
B00EHBPF6W	129	52	37	64	141
B00EIF0E0Y	4	5	13	23	47
B00EIF0E2M	12	8	31	55	137
B00EKJQLSC	2	1	4	18	133
B00ELAIHDM	15	8	13	19	85
B00ELAM8M8	10	13	5	13	27
B00ELPIWIC	76	39	39	32	235
B00EOZFUYI	12	5	4	25	94
B00EPDMDZ8	2	2	5	8	110
B00EPWZXLA	35	28	33	62	158
B00EQZPA5A	0	2	1	2	4
B00ESW4JTY	5	12	12	33	140
B00EURR3SQ	5	6	5	16	19
B00EUSMS8K	10	15	17	30	92
B00EXTVPOE	40	13	13	32	119
B00EYXLX82	7	1	2	5	15
B00EZGB4GO	51	39	72	115	376
B00EZGB4J6	8	9	16	19	51
B00EZJR9RE	5	7	7	10	19
B00EZJR9RO	8	2	11	9	32
B00EZSUS1E	7	1	3	5	7
B00EZSUT3Q	14	8	7	11	55
B00F0H88AC	1	1	1	8	15
B00F0UFUHI	6	16	11	23	74
B00F3JCR4A	64	16	11	20	35
B00F3JM9RA	40	5	9	7	13
B00F49A36I	51	19	19	16	30
B00F4I6CO6	90	59	43	83	219
B00F6OV6LM	11	14	11	18	34
B00F6PRSMW	26	19	24	49	266
B00F8JEJKK	25	18	26	67	359
B00F9HTX7U	6	0	3	5	12
B00FA4UC2M	3	2	1	4	20
B00FAYFDYE	31	14	10	12	39
B00FBNA6Z0	12	6	8	13	60
B00FBQ84F6	4	1	2	3	43
B00FE8WMDG	13	5	3	4	4
B00FF1VCW4	51	30	36	41	104
B00FFH4O9Q	11	12	20	59	248
B00FFZD8I6	27	16	21	46	242
B00FGLTYEG	3	1	1	7	27
B00FJV0FFK	0	4	0	7	13
B00FJWKZP4	5	2	0	1	10
B00FOVVKYK	3	4	5	6	47
B00FRKOG3K	29	11	18	35	127
B00FSKQNEY	5	3	9	7	29
B00FU4X882	4	4	7	16	28
B00FX8RH4G	7	2	3	5	22
B00FX9WJNO	2	1	9	24	171
B00FXRZZA0	1	2	4	3	15
B00G5CKH6O	4	3	5	22	92
B00GIYYVO8	28	5	5	8	18
B00GKEAQ2M	136	82	100	277	844
B00GO8NOU0	58	28	26	22	36
B00GOPDCJ6	16	6	2	7	13
B00GR3FMXE	4	6	10	12	26
B00GT36MGI	24	20	45	44	169
B00GUTY132	9	16	23	36	71
B00GUTY3DK	45	29	39	123	383
B00GWGZFK6	1	1	2	13	29
B00GXXSI9I	4	9	4	12	27
B00GXYNVNA	12	0	7	10	28
B00GYFLO14	46	27	33	64	248
B00H28SFBO	49	13	24	30	66
B00HCA6VHM	29	19	20	33	155
B00HG789HQ	4	0	5	6	25
B00HMRDKO2	15	14	21	29	72
B00HWSXVDG	81	72	95	227	1526
B00HXIYIE6	8	10	15	43	128
B00HZE2WW8	64	25	29	135	432
B00HZN1WXE	37	31	31	82	228
B00I053I5G	22	15	19	42	109
B00I0MKMBW	9	2	4	5	16
B00I59VBH4	201	157	190	359	1126
B00I5QBPVY	8	4	3	5	17
B00I8S83JG	7	4	3	11	21
B00I8SQJKG	27	7	12	18	45
B00I8SSFH6	6	10	2	13	14
B00I8Y6V9E	46	29	67	116	494
B00I9HC50O	14	16	6	11	46
B00IAKLM54	134	79	101	121	274
B00IAYI938	9	2	2	4	7
B00IBINI7K	129	50	50	91	262
B00IE5C6LO	48	23	27	30	83
B00IF70T4M	1622	878	1003	1560	4190
B00IF70TSI	76	67	75	190	584
B00IFXCM5A	3	2	4	12	17
B00IJSAYJW	25	9	18	21	56
B00IJSBHN4	345	106	122	120	324
B00ILCRZRK	10	4	7	28	86
B00ILCS11E	17	7	10	37	127
B00ILCS164	6	1	1	5	31
B00ILCS182	59	41	36	98	333
B00INEG8W4	259	141	174	400	1331
B00IQ0SE22	83	19	17	70	190
B00ISIG6PY	171	145	161	322	1496
B00ISRUFXY	229	139	139	274	637
B00IUICOR6	79	67	94	179	737
B00IVI3P64	4	4	5	15	11
B00IWQREE4	21	12	32	66	194
B00IWQREMQ	16	8	11	41	137
B00IWQREOE	21	19	45	138	390
B00J30GXW2	136	62	79	192	530
B00J356C0K	31	14	21	46	135
B00J3O9DYI	58	23	34	70	276
B00J5CHXRW	2	2	2	7	11
B00JC31SEI	71	25	18	46	93
B00JC31SGG	73	33	24	59	186
B00JPJ33MO	17	4	4	13	58
B00JQAFNW0	11	4	5	4	9
B00JQO13K2	0	0	1	2	5
B00JQO1410	6	3	3	4	8
B00JR6GJLW	75	16	22	54	145
B00JRTMOGS	82	27	17	20	76
B00JST4TLA	9	3	6	2	13
B00JST4VHW	60	58	48	117	385
B00JWV1M3W	9	6	2	8	18
B00L26YDA4	42	42	41	47	94
